Date,Open,High,Low,Close,Adj Close,Volume
2021-09-07,3478.000000,3528.090088,3476.939941,3509.290039,3509.290039,2737900
2021-09-08,3511.649902,3545.629883,3495.669922,3525.500000,3525.500000,3053400
2021-09-09,3526.020020,3549.989990,3480.370117,3484.159912,3484.159912,2719200
2021-09-10,3501.830078,3508.449951,3462.909912,3469.149902,3469.149902,2393300
2021-09-13,3482.800049,3497.959961,3438.000000,3457.169922,3457.169922,2569000
2021-09-14,3475.550049,3486.810059,3437.709961,3450.000000,3450.000000,1936900
2021-09-15,3442.520020,3485.419922,3402.010010,3475.790039,3475.790039,2957500
2021-09-16,3459.959961,3492.550049,3446.139893,3488.239990,3488.239990,2583600
2021-09-17,3488.409912,3497.409912,3452.129883,3462.520020,3462.520020,4616600
2021-09-20,3396.000000,3419.000000,3305.010010,3355.729980,3355.729980,4669100
2021-09-21,3375.000000,3379.699951,3332.389893,3343.629883,3343.629883,2780900
2021-09-22,3351.000000,3389.000000,3341.050049,3380.050049,3380.050049,2411400
2021-09-23,3380.050049,3428.959961,3380.050049,3416.000000,3416.000000,2379400
2021-09-24,3402.010010,3429.260010,3393.399902,3425.520020,3425.520020,2116200
2021-09-27,3371.500000,3415.570068,3339.610107,3405.800049,3405.800049,3634500
2021-09-28,3357.709961,3369.189941,3290.100098,3315.959961,3315.959961,4430800
2021-09-29,3322.110107,3351.300049,3297.870117,3301.120117,3301.120117,2562300
2021-09-30,3316.000000,3327.850098,3273.989990,3285.040039,3285.040039,2842400
2021-10-01,3289.010010,3309.169922,3255.939941,3283.260010,3283.260010,2835600
2021-10-04,3279.389893,3279.989990,3176.250000,3189.780029,3189.780029,4523100
2021-10-05,3204.500000,3260.729980,3202.459961,3221.000000,3221.000000,3269200
2021-10-06,3213.530029,3264.340088,3198.620117,3262.010010,3262.010010,2533000
2021-10-07,3291.540039,3325.750000,3283.060059,3302.429932,3302.429932,2409100
2021-10-08,3317.000000,3321.429932,3288.199951,3288.620117,3288.620117,1995500
2021-10-11,3275.000000,3292.590088,3238.100098,3246.300049,3246.300049,2034200
2021-10-12,3257.000000,3267.530029,3236.280029,3247.330078,3247.330078,1819600
2021-10-13,3269.709961,3288.379883,3261.090088,3284.280029,3284.280029,2420100
2021-10-14,3302.449951,3312.600098,3290.780029,3299.860107,3299.860107,2109500
2021-10-15,3311.419922,3410.419922,3304.000000,3409.020020,3409.020020,5175100
2021-10-18,3388.360107,3449.169922,3385.100098,3446.739990,3446.739990,3174100
2021-10-19,3434.290039,3454.689941,3422.000000,3444.149902,3444.149902,2386100
2021-10-20,3452.659912,3462.860107,3400.370117,3415.060059,3415.060059,2139800
2021-10-21,3414.250000,3440.280029,3403.000000,3435.010010,3435.010010,1881400
2021-10-22,3421.000000,3429.840088,3331.300049,3335.550049,3335.550049,3139100
2021-10-25,3335.000000,3347.800049,3297.699951,3320.370117,3320.370117,2226000
2021-10-26,3349.510010,3416.120117,3343.979980,3376.070068,3376.070068,2698300
2021-10-27,3388.000000,3437.000000,3371.449951,3392.489990,3392.489990,2702200
2021-10-28,3402.100098,3479.000000,3386.000000,3446.570068,3446.570068,5708700
2021-10-29,3300.020020,3374.820068,3273.320068,3372.429932,3372.429932,6469500
2021-11-01,3361.800049,3375.860107,3292.020020,3318.110107,3318.110107,3608900
2021-11-02,3315.010010,3331.120117,3283.550049,3312.750000,3312.750000,2627600
2021-11-03,3309.000000,3394.919922,3297.520020,3384.000000,3384.000000,3397200
2021-11-04,3370.000000,3498.629883,3365.000000,3477.000000,3477.000000,5353000
2021-11-05,3477.000000,3566.250000,3476.979980,3518.989990,3518.989990,4993500
2021-11-08,3523.239990,3579.000000,3487.860107,3488.979980,3488.979980,3074000
2021-11-09,3515.250000,3593.770020,3501.429932,3576.229980,3576.229980,4294900
2021-11-10,3563.870117,3605.449951,3463.090088,3482.050049,3482.050049,4027400
2021-11-11,3513.000000,3543.239990,3467.469971,3472.500000,3472.500000,2264400
2021-11-12,3485.000000,3540.729980,3447.050049,3525.149902,3525.149902,2688500
2021-11-15,3537.000000,3593.879883,3525.810059,3545.679932,3545.679932,2929700
2021-11-16,3539.000000,3576.500000,3525.149902,3540.699951,3540.699951,2217100
2021-11-17,3564.719971,3587.250000,3545.350098,3549.000000,3549.000000,2560300
2021-11-18,3566.350098,3704.199951,3561.000000,3696.060059,3696.060059,5703500
2021-11-19,3712.689941,3762.149902,3675.719971,3676.570068,3676.570068,4936700
2021-11-22,3676.379883,3713.459961,3567.500000,3572.570068,3572.570068,4842200
2021-11-23,3585.040039,3621.050049,3527.709961,3580.040039,3580.040039,3690200
2021-11-24,3562.669922,3613.639893,3536.850098,3580.409912,3580.409912,2328000
2021-11-26,3602.100098,3633.500000,3504.149902,3504.560059,3504.560059,2991300
2021-11-29,3547.639893,3596.000000,3531.500000,3561.570068,3561.570068,3265600
2021-11-30,3563.500000,3585.770020,3492.010010,3507.070068,3507.070068,4001100
2021-12-01,3545.000000,3559.879883,3441.600098,3443.719971,3443.719971,3745800
2021-12-02,3460.000000,3492.699951,3423.750000,3437.360107,3437.360107,3236300
2021-12-03,3455.000000,3469.870117,3338.600098,3389.790039,3389.790039,4032600
