FIPS|Countyname|Postal|LineCode|IndustryName|Real Gross domestic product (GDP) by county|||
||||| (thousands of chained 2012 dollars)|||
1045|Dale|AL|2|  Private goods-producing industries|655960|693998|547052|546789
1045|Dale|AL|3|  Private services-providing industries|544124|633181|648775|641243
1045|Dale|AL|4|  Government and government enterprises|1556837|1491693|1493270|1488104
1047|Dallas|AL|1|All Industries|1125070|1112684|1090446|1042780
1047|Dallas|AL|2|  Private goods-producing industries|466732|462410|442033|398044
1047|Dallas|AL|3|  Private services-providing industries|482901|482912|486154|486262
1047|Dallas|AL|4|  Government and government enterprises|175436|167398|162434|158916
1049|DeKalb|AL|1|All Industries|1485948|1688899|1656070|1684337
1049|DeKalb|AL|2|  Private goods-producing industries|621541|762446|672582|661472
1049|DeKalb|AL|3|  Private services-providing industries|653821|722569|781406|820389
1049|DeKalb|AL|4|  Government and government enterprises|210586|204151|201646|201532
1051|Elmore|AL|1|All Industries|1396129|1497274|1511276|1537004
1051|Elmore|AL|2|  Private goods-producing industries|367682|371168|352382|364856
1051|Elmore|AL|3|  Private services-providing industries|761650|861618|877601|888776
1051|Elmore|AL|4|  Government and government enterprises|266798|264435|280538|282850
1053|Escambia|AL|1|All Industries|1056880|1038718|1015770|996597
1053|Escambia|AL|2|  Private goods-producing industries|409352|392563|370701|356039
1053|Escambia|AL|3|  Private services-providing industries|405797|403113|398651|392377
1053|Escambia|AL|4|  Government and government enterprises|241730|242943|246007|247059
1055|Etowah|AL|1|All Industries|2607155|2580422|2529908|2537130
1055|Etowah|AL|2|  Private goods-producing industries|598902|580506|537619|520590
1055|Etowah|AL|3|  Private services-providing industries|1646083|1648398|1653283|1680580
1055|Etowah|AL|4|  Government and government enterprises|362171|351570|339090|336243
1057|Fayette|AL|1|All Industries|260930|264086|261565|262842
1057|Fayette|AL|2|  Private goods-producing industries|77155|83652|81600|83633
1057|Fayette|AL|3|  Private services-providing industries|111764|110187|112623|111882
1057|Fayette|AL|4|  Government and government enterprises|72012|70202|67382|67305
1059|Franklin|AL|1|All Industries|720181|780664|705590|702000
1059|Franklin|AL|2|  Private goods-producing industries|338431|389378|327155|339055
1059|Franklin|AL|3|  Private services-providing industries|261817|275608|262668|246806
1059|Franklin|AL|4|  Government and government enterprises|119932|116068|115089|116057
1061|Geneva|AL|1|All Industries|406627|430780|418366|437309
1061|Geneva|AL|2|  Private goods-producing industries|109883|147946|134339|150823
1061|Geneva|AL|3|  Private services-providing industries|211232|200732|205927|209231
1061|Geneva|AL|4|  Government and government enterprises|85512|82095|77900|78021
1063|Greene|AL|1|All Industries|246604|230026|223915|198632
1063|Greene|AL|2|  Private goods-producing industries|83883|82605|(D)|63960
1063|Greene|AL|3|  Private services-providing industries|126516|112485|(D)|98402
1063|Greene|AL|4|  Government and government enterprises|36205|35091|35905|35844
1065|Hale|AL|1|All Industries|226473|264111|242492|251413
1065|Hale|AL|2|  Private goods-producing industries|96228|134246|114478|127195
1065|Hale|AL|3|  Private services-providing industries|75600|76305|75587|73118
1065|Hale|AL|4|  Government and government enterprises|54645|53266|52214|51421
1067|Henry|AL|1|All Industries|259333|290103|297272|294677
1067|Henry|AL|2|  Private goods-producing industries|90180|105656|96597|102516
1067|Henry|AL|3|  Private services-providing industries|124227|141046|158411|150467
1067|Henry|AL|4|  Government and government enterprises|44926|43345|42722|42020
1069|Houston|AL|1|All Industries|4122576|4164957|4104867|4030351
1069|Houston|AL|2|  Private goods-producing industries|631558|603637|510240|448480
1069|Houston|AL|3|  Private services-providing industries|2911756|2984341|3006256|2992765
1069|Houston|AL|4|  Government and government enterprises|579262|577076|588368|589064
1071|Jackson|AL|1|All Industries|1327414|1371337|1352030|1254897
1071|Jackson|AL|2|  Private goods-producing industries|469944|543403|540018|511732
1071|Jackson|AL|3|  Private services-providing industries|591884|584228|572885|522074
1071|Jackson|AL|4|  Government and government enterprises|265586|244105|239615|221825
1073|Jefferson|AL|1|All Industries|42005734|41051828|40026017|40267211
1073|Jefferson|AL|2|  Private goods-producing industries|6416092|6386006|5773224|5597094
1073|Jefferson|AL|3|  Private services-providing industries|30607156|29761950|29325269|29677082
1073|Jefferson|AL|4|  Government and government enterprises|4982486|4905826|4907940|4960938
1075|Lamar|AL|1|All Industries|276202|265718|255999|245499
1075|Lamar|AL|2|  Private goods-producing industries|103073|106403|91195|90630
1075|Lamar|AL|3|  Private services-providing industries|134240|121862|129087|119330
1075|Lamar|AL|4|  Government and government enterprises|38889|37366|35967|35663
1077|Lauderdale|AL|1|All Industries|2325961|2402292|2350008|2298453
1077|Lauderdale|AL|2|  Private goods-producing industries|462457|514044|456498|422387
1077|Lauderdale|AL|3|  Private services-providing industries|1512987|1544916|1557866|1539505
1077|Lauderdale|AL|4|  Government and government enterprises|350517|343436|336198|337162
1079|Lawrence|AL|1|All Industries|728868|679450|587433|477055
1079|Lawrence|AL|2|  Private goods-producing industries|401170|336965|276543|166712
1079|Lawrence|AL|3|  Private services-providing industries|234216|251283|222603|223516
1079|Lawrence|AL|4|  Government and government enterprises|93482|91636|88625|85604
