FIPS|Countyname|Postal|LineCode|IndustryName|Real Gross domestic product (GDP) by county|||
||||| (thousands of chained 2012 dollars)|||
2275|Wrangell City and Borough|AK|2|  Private goods-producing industries|11256|23798|24343|35826
2275|Wrangell City and Borough|AK|3|  Private services-providing industries|19343|23337|22482|22675
2275|Wrangell City and Borough|AK|4|  Government and government enterprises|30023|27961|28890|27075
2282|Yakutat City and Borough|AK|1|All Industries|24391|33151|27378|21186
2282|Yakutat City and Borough|AK|2|  Private goods-producing industries|2900|3132|3069|2819
2282|Yakutat City and Borough|AK|3|  Private services-providing industries|10002|18329|13188|7797
2282|Yakutat City and Borough|AK|4|  Government and government enterprises|11490|11709|11114|10537
2290|Yukon-Koyukuk Census Area|AK|1|All Industries|316396|277385|226243|223047
2290|Yukon-Koyukuk Census Area|AK|2|  Private goods-producing industries|92009|68581|18031|15305
2290|Yukon-Koyukuk Census Area|AK|3|  Private services-providing industries|120484|111562|104808|111231
2290|Yukon-Koyukuk Census Area|AK|4|  Government and government enterprises|103903|96554|98227|91119
4001|Apache|AZ|1|All Industries|2506715|2304349|2120316|2050145
4001|Apache|AZ|2|  Private goods-producing industries|94295|64050|65447|(D)
4001|Apache|AZ|3|  Private services-providing industries|1572081|1438184|1283244|(D)
4001|Apache|AZ|4|  Government and government enterprises|840339|801799|771928|758820
4003|Cochise|AZ|1|All Industries|4114722|4011109|3997757|4145982
4003|Cochise|AZ|2|  Private goods-producing industries|305252|289564|289157|(D)
4003|Cochise|AZ|3|  Private services-providing industries|1746153|1789290|1904827|(D)
4003|Cochise|AZ|4|  Government and government enterprises|2063316|1932150|1803636|1778096
4005|Coconino|AZ|1|All Industries|5948938|6097882|6183283|6190582
4005|Coconino|AZ|2|  Private goods-producing industries|717729|771199|797939|790863
4005|Coconino|AZ|3|  Private services-providing industries|3827736|3894015|3962195|3986233
4005|Coconino|AZ|4|  Government and government enterprises|1403473|1432803|1423808|1414121
4007|Gila|AZ|1|All Industries|1595348|1844747|1707682|1666253
4007|Gila|AZ|2|  Private goods-producing industries|762921|999276|860506|787502
4007|Gila|AZ|3|  Private services-providing industries|502135|522358|528289|550441
4007|Gila|AZ|4|  Government and government enterprises|330293|329872|317298|317323
4009|Graham|AZ|1|All Industries|672246|679410|687027|679504
4009|Graham|AZ|2|  Private goods-producing industries|95234|102660|101608|97484
4009|Graham|AZ|3|  Private services-providing industries|363099|363567|376466|373776
4009|Graham|AZ|4|  Government and government enterprises|213913|213216|209082|208079
4011|Greenlee|AZ|1|All Industries|1263702|1442973|1568854|1317667
4011|Greenlee|AZ|2|  Private goods-producing industries|1167625|1350111|1478491|(D)
4011|Greenlee|AZ|3|  Private services-providing industries|61254|58544|57613|(D)
4011|Greenlee|AZ|4|  Government and government enterprises|34823|35349|35264|36126
4012|La Paz|AZ|1|All Industries|496754|526827|516902|537547
4012|La Paz|AZ|2|  Private goods-producing industries|97969|104942|70749|69021
4012|La Paz|AZ|3|  Private services-providing industries|244836|270502|293838|318629
4012|La Paz|AZ|4|  Government and government enterprises|153949|151475|150427|147665
4013|Maricopa|AZ|1|All Industries|191057142|193275432|196682201|202050512
4013|Maricopa|AZ|2|  Private goods-producing industries|26867865|25846026|26868072|28512398
4013|Maricopa|AZ|3|  Private services-providing industries|144940728|148209586|150972464|154938305
4013|Maricopa|AZ|4|  Government and government enterprises|19248548|19214188|18857230|18652125
4015|Mohave|AZ|1|All Industries|4002396|4126321|4148382|4187366
4015|Mohave|AZ|2|  Private goods-producing industries|558327|642642|744128|653075
4015|Mohave|AZ|3|  Private services-providing industries|2831611|2896612|2850011|2992990
4015|Mohave|AZ|4|  Government and government enterprises|612458|588927|561646|543145
4017|Navajo|AZ|1|All Industries|3027709|3045294|3093098|3148773
4017|Navajo|AZ|2|  Private goods-producing industries|446481|461240|459294|377292
4017|Navajo|AZ|3|  Private services-providing industries|1885443|1909841|1972527|2114229
4017|Navajo|AZ|4|  Government and government enterprises|695786|674697|661354|648202
4019|Pima|AZ|1|All Industries|36093975|34914674|34581301|34815488
4019|Pima|AZ|2|  Private goods-producing industries|6895241|6140248|6223359|5877189
4019|Pima|AZ|3|  Private services-providing industries|21624079|21272135|21059020|21766964
4019|Pima|AZ|4|  Government and government enterprises|7574655|7494708|7297210|7159324
4021|Pinal|AZ|1|All Industries|6093707|6111021|6121806|6176124
4021|Pinal|AZ|2|  Private goods-producing industries|2057601|1903397|1836829|1795339
4021|Pinal|AZ|3|  Private services-providing industries|2403996|2621892|2725276|2847832
4021|Pinal|AZ|4|  Government and government enterprises|1632110|1583552|1555142|1524499
4023|Santa Cruz|AZ|1|All Industries|1330985|1318556|1276737|1355814
4023|Santa Cruz|AZ|2|  Private goods-producing industries|81263|81150|85936|96411
4023|Santa Cruz|AZ|3|  Private services-providing industries|814456|813731|777892|841270
4023|Santa Cruz|AZ|4|  Government and government enterprises|435267|423670|412849|418107
4025|Yavapai|AZ|1|All Industries|4788236|5091208|5272187|5394726
4025|Yavapai|AZ|2|  Private goods-producing industries|909338|982029|1133914|1115704
4025|Yavapai|AZ|3|  Private services-providing industries|3066635|3301434|3350094|3484675
4025|Yavapai|AZ|4|  Government and government enterprises|812263|808524|797517|800168
4027|Yuma|AZ|1|All Industries|5296249|5372637|5469837|5708847
4027|Yuma|AZ|2|  Private goods-producing industries|997369|995473|1065020|1211545
4027|Yuma|AZ|3|  Private services-providing industries|2529235|2655421|2730078|2819360
4027|Yuma|AZ|4|  Government and government enterprises|1769644|1721974|1675401|1682160
5001|Arkansas|AR|1|All Industries|830826|919818|899571|921592
5001|Arkansas|AR|2|  Private goods-producing industries|374895|456822|434211|447170
5001|Arkansas|AR|3|  Private services-providing industries|385584|394330|397078|408234
5001|Arkansas|AR|4|  Government and government enterprises|70347|68541|68194|66213
5003|Ashley|AR|1|All Industries|883239|919044|941011|885651
5003|Ashley|AR|2|  Private goods-producing industries|565104|588472|611022|560055
5003|Ashley|AR|3|  Private services-providing industries|252872|267806|268321|267005
5003|Ashley|AR|4|  Government and government enterprises|65263|62785|61249|59090
5005|Baxter|AR|1|All Industries|1043237|1029600|1058016|1038577
5005|Baxter|AR|2|  Private goods-producing industries|231497|222847|233966|222546
5005|Baxter|AR|3|  Private services-providing industries|708823|706737|725657|719844
5005|Baxter|AR|4|  Government and government enterprises|102916|100033|98517|96334
5007|Benton|AR|1|All Industries|10704104|11614513|12246465|12404873
5007|Benton|AR|2|  Private goods-producing industries|1396473|1593067|1683850|1698667
5007|Benton|AR|3|  Private services-providing industries|8680660|9383344|9926110|10083266
5007|Benton|AR|4|  Government and government enterprises|626971|638429|638018|625705
5009|Boone|AR|1|All Industries|1119565|1096273|1115015|1084672
5009|Boone|AR|2|  Private goods-producing industries|226589|225711|224464|219993
5009|Boone|AR|3|  Private services-providing industries|700997|677186|700974|682123
5009|Boone|AR|4|  Government and government enterprises|191979|193366|189639|182740
5011|Bradley|AR|1|All Industries|240726|237349|234960|240143
5011|Bradley|AR|2|  Private goods-producing industries|85546|87330|85509|92108
5011|Bradley|AR|3|  Private services-providing industries|108089|104652|104439|103800
5011|Bradley|AR|4|  Government and government enterprises|47092|45257|45002|43774
5013|Calhoun|AR|1|All Industries|288586|294922|295939|308724
5013|Calhoun|AR|2|  Private goods-producing industries|220150|226062|226939|237780
5013|Calhoun|AR|3|  Private services-providing industries|53903|54409|54781|56923
5013|Calhoun|AR|4|  Government and government enterprises|14533|14448|14222|14037
5015|Carroll|AR|1|All Industries|652964|711839|690702|672415
5015|Carroll|AR|2|  Private goods-producing industries|286162|338750|324503|312874
5015|Carroll|AR|3|  Private services-providing industries|298197|306618|298173|292503
5015|Carroll|AR|4|  Government and government enterprises|68605|66547|67994|66874
5017|Chicot|AR|1|All Industries|255790|267791|262103|250331
5017|Chicot|AR|2|  Private goods-producing industries|72775|94135|84701|81469
5017|Chicot|AR|3|  Private services-providing industries|126614|119725|125353|117976
5017|Chicot|AR|4|  Government and government enterprises|56401|53885|51826|50740
5019|Clark|AR|1|All Industries|726679|773369|773350|733639
5019|Clark|AR|2|  Private goods-producing industries|187474|219252|205370|184377
5019|Clark|AR|3|  Private services-providing industries|400738|422714|440447|426552
5019|Clark|AR|4|  Government and government enterprises|138467|131116|128134|123780
5021|Clay|AR|1|All Industries|295622|316180|314367|299367
5021|Clay|AR|2|  Private goods-producing industries|89165|118829|115259|103261
5021|Clay|AR|3|  Private services-providing industries|158590|150338|153540|151927
5021|Clay|AR|4|  Government and government enterprises|47866|46953|45457|43286
5023|Cleburne|AR|1|All Industries|592978|616357|658517|716209
5023|Cleburne|AR|2|  Private goods-producing industries|198000|199715|226293|286095
5023|Cleburne|AR|3|  Private services-providing industries|339485|362194|378390|380233
5023|Cleburne|AR|4|  Government and government enterprises|55492|54516|53869|53496
5025|Cleveland|AR|1|All Industries|91220|96826|107628|112725
5025|Cleveland|AR|2|  Private goods-producing industries|43829|(D)|(D)|(D)
5025|Cleveland|AR|3|  Private services-providing industries|27849|(D)|(D)|(D)
5025|Cleveland|AR|4|  Government and government enterprises|19541|19253|18240|17597
5027|Columbia|AR|1|All Industries|887037|892613|935579|826705
5027|Columbia|AR|2|  Private goods-producing industries|484169|482153|521911|432282
5027|Columbia|AR|3|  Private services-providing industries|291541|299721|305038|283164
5027|Columbia|AR|4|  Government and government enterprises|111327|110776|108586|108542
5029|Conway|AR|1|All Industries|595300|651132|703597|635946
5029|Conway|AR|2|  Private goods-producing industries|242955|268663|269000|244851
5029|Conway|AR|3|  Private services-providing industries|275189|304300|357393|313349
5029|Conway|AR|4|  Government and government enterprises|77155|78200|77361|77789
5031|Craighead|AR|1|All Industries|3707662|3815810|3867916|4046997
5031|Craighead|AR|2|  Private goods-producing industries|766585|774194|748895|733862
5031|Craighead|AR|3|  Private services-providing industries|2450223|2552450|2634897|2839820
5031|Craighead|AR|4|  Government and government enterprises|490855|489365|485000|476356
5033|Crawford|AR|1|All Industries|1543442|1567656|1558077|1529205
5033|Crawford|AR|2|  Private goods-producing industries|421933|471089|483931|442458
5033|Crawford|AR|3|  Private services-providing industries|976762|954997|935881|952822
5033|Crawford|AR|4|  Government and government enterprises|144748|141600|138290|133838
5035|Crittenden|AR|1|All Industries|1431966|1495709|1506471|1471731
5035|Crittenden|AR|2|  Private goods-producing industries|255821|360605|386364|379679
5035|Crittenden|AR|3|  Private services-providing industries|993086|957306|953780|929460
5035|Crittenden|AR|4|  Government and government enterprises|183060|178266|167881|164283
5037|Cross|AR|1|All Industries|438719|440858|429928|428678
5037|Cross|AR|2|  Private goods-producing industries|115980|120065|107409|100321
5037|Cross|AR|3|  Private services-providing industries|253586|252372|255748|263412
5037|Cross|AR|4|  Government and government enterprises|69153|68504|66387|63752
5039|Dallas|AR|1|All Industries|177988|181465|177889|174201
5039|Dallas|AR|2|  Private goods-producing industries|65998|65366|61260|55029
5039|Dallas|AR|3|  Private services-providing industries|92790|97678|99069|102967
5039|Dallas|AR|4|  Government and government enterprises|19201|18491|17903|17106
5041|Desha|AR|1|All Industries|428200|447908|437137|420307
5041|Desha|AR|2|  Private goods-producing industries|169139|186134|181146|165457
5041|Desha|AR|3|  Private services-providing industries|206387|210347|205066|203575
5041|Desha|AR|4|  Government and government enterprises|52673|51393|50875|50705
5043|Drew|AR|1|All Industries|496838|486748|494192|498733
5043|Drew|AR|2|  Private goods-producing industries|134834|140363|138532|137034
5043|Drew|AR|3|  Private services-providing industries|244661|230008|241611|250302
5043|Drew|AR|4|  Government and government enterprises|117343|116252|114116|111599
5045|Faulkner|AR|1|All Industries|3726513|3634825|3719791|3960480
5045|Faulkner|AR|2|  Private goods-producing industries|1039785|1000983|1033482|1182488
5045|Faulkner|AR|3|  Private services-providing industries|2206375|2157709|2212645|2309154
5045|Faulkner|AR|4|  Government and government enterprises|480353|476196|473953|468131
5047|Franklin|AR|1|All Industries|391648|419637|443622|572553
5047|Franklin|AR|2|  Private goods-producing industries|185981|213332|234145|370088
5047|Franklin|AR|3|  Private services-providing industries|139952|141694|146417|148367
5047|Franklin|AR|4|  Government and government enterprises|65715|64573|63186|61958
5049|Fulton|AR|1|All Industries|150771|167214|172989|169035
5049|Fulton|AR|2|  Private goods-producing industries|38939|(D)|58712|58712
5049|Fulton|AR|3|  Private services-providing industries|78205|(D)|81375|77862
5049|Fulton|AR|4|  Government and government enterprises|33626|33178|32889|32628
5051|Garland|AR|1|All Industries|2934315|2784319|2794066|2842955
5051|Garland|AR|2|  Private goods-producing industries|416035|434882|434703|461537
5051|Garland|AR|3|  Private services-providing industries|2186531|2027347|2048290|2079005
5051|Garland|AR|4|  Government and government enterprises|331748|321898|311177|303020
5053|Grant|AR|1|All Industries|303900|315461|324478|320914
5053|Grant|AR|2|  Private goods-producing industries|125236|142120|148667|148649
5053|Grant|AR|3|  Private services-providing industries|128100|123719|126180|124370
5053|Grant|AR|4|  Government and government enterprises|50564|49453|49406|47658
5055|Greene|AR|1|All Industries|1158505|1169549|1140782|1201211
5055|Greene|AR|2|  Private goods-producing industries|502281|537771|547787|595438
5055|Greene|AR|3|  Private services-providing industries|528384|503628|466607|480985
5055|Greene|AR|4|  Government and government enterprises|127841|128209|126498|125122
5057|Hempstead|AR|1|All Industries|664534|755263|753608|695263
5057|Hempstead|AR|2|  Private goods-producing industries|281752|244629|245595|234219
5057|Hempstead|AR|3|  Private services-providing industries|277675|406242|408217|365009
5057|Hempstead|AR|4|  Government and government enterprises|105106|104896|100334|96779
5059|Hot Spring|AR|1|All Industries|781325|758115|683283|767912
5059|Hot Spring|AR|2|  Private goods-producing industries|214057|184305|178653|178162
5059|Hot Spring|AR|3|  Private services-providing industries|452221|459449|390099|480583
5059|Hot Spring|AR|4|  Government and government enterprises|115047|114300|114296|109166
5061|Howard|AR|1|All Industries|494267|543935|521220|493600
5061|Howard|AR|2|  Private goods-producing industries|288515|340545|321575|304783
5061|Howard|AR|3|  Private services-providing industries|156724|154811|151669|141392
5061|Howard|AR|4|  Government and government enterprises|49028|48396|47859|47266
5063|Independence|AR|1|All Industries|1445838|1527817|1484872|1268347
5063|Independence|AR|2|  Private goods-producing industries|348829|383692|357107|331731
5063|Independence|AR|3|  Private services-providing industries|967298|1016450|1004422|817058
5063|Independence|AR|4|  Government and government enterprises|129711|127776|123050|120629
5065|Izard|AR|1|All Industries|246718|241988|241395|225583
5065|Izard|AR|2|  Private goods-producing industries|70558|78445|80122|70309
5065|Izard|AR|3|  Private services-providing industries|118797|106952|106532|102008
5065|Izard|AR|4|  Government and government enterprises|57363|56550|54745|52931
5067|Jackson|AR|1|All Industries|471583|471857|475806|442991
5067|Jackson|AR|2|  Private goods-producing industries|177048|192892|205645|177509
5067|Jackson|AR|3|  Private services-providing industries|212476|198429|192033|188190
5067|Jackson|AR|4|  Government and government enterprises|82059|80870|78981|76338
5069|Jefferson|AR|1|All Industries|3002468|3043082|2908723|2690860
5069|Jefferson|AR|2|  Private goods-producing industries|781883|777540|726155|631509
5069|Jefferson|AR|3|  Private services-providing industries|1605957|1688174|1624721|1510203
5069|Jefferson|AR|4|  Government and government enterprises|614628|577476|557710|547841
5071|Johnson|AR|1|All Industries|578655|614614|611698|616828
5071|Johnson|AR|2|  Private goods-producing industries|219445|249098|237479|230257
5071|Johnson|AR|3|  Private services-providing industries|286549|293172|302599|316870
5071|Johnson|AR|4|  Government and government enterprises|72661|72407|71716|69796
5073|Lafayette|AR|1|All Industries|122883|141000|147550|196773
5073|Lafayette|AR|2|  Private goods-producing industries|58198|(D)|(D)|137369
5073|Lafayette|AR|3|  Private services-providing industries|45278|(D)|(D)|45843
5073|Lafayette|AR|4|  Government and government enterprises|19407|19134|19128|17931
5075|Lawrence|AR|1|All Industries|313636|328859|336843|328538
5075|Lawrence|AR|2|  Private goods-producing industries|93385|117984|118567|110034
5075|Lawrence|AR|3|  Private services-providing industries|152316|144914|152358|157540
5075|Lawrence|AR|4|  Government and government enterprises|67935|65923|65873|60586
5077|Lee|AR|1|All Industries|174313|198645|199693|193148
5077|Lee|AR|2|  Private goods-producing industries|49457|72092|70028|67156
5077|Lee|AR|3|  Private services-providing industries|76595|80486|85250|86040
5077|Lee|AR|4|  Government and government enterprises|48261|46061|44383|39964
5079|Lincoln|AR|1|All Industries|234512|260187|250005|238328
5079|Lincoln|AR|2|  Private goods-producing industries|79939|107306|100498|91994
5079|Lincoln|AR|3|  Private services-providing industries|72392|72604|71950|73446
5079|Lincoln|AR|4|  Government and government enterprises|82180|80284|77479|72386
5081|Little River|AR|1|All Industries|498522|447421|405003|341070
5081|Little River|AR|2|  Private goods-producing industries|326054|278759|239765|175711
5081|Little River|AR|3|  Private services-providing industries|122357|121548|119568|121385
5081|Little River|AR|4|  Government and government enterprises|50111|47283|45915|44004
5083|Logan|AR|1|All Industries|429941|452612|445793|470654
5083|Logan|AR|2|  Private goods-producing industries|192277|211195|208181|243856
5083|Logan|AR|3|  Private services-providing industries|159443|165388|163393|158841
5083|Logan|AR|4|  Government and government enterprises|78221|76040|74245|70474
5085|Lonoke|AR|1|All Industries|1036485|1095396|1096706|1088023
5085|Lonoke|AR|2|  Private goods-producing industries|281847|315456|301751|300911
5085|Lonoke|AR|3|  Private services-providing industries|585597|614150|631804|627388
5085|Lonoke|AR|4|  Government and government enterprises|169042|165801|163260|159929
5087|Madison|AR|1|All Industries|270693|313479|307479|304949
5087|Madison|AR|2|  Private goods-producing industries|134434|175142|(D)|167683
5087|Madison|AR|3|  Private services-providing industries|98010|101096|(D)|103097
5087|Madison|AR|4|  Government and government enterprises|38249|37266|35967|34201
5089|Marion|AR|1|All Industries|383695|372094|371573|463015
5089|Marion|AR|2|  Private goods-producing industries|217482|204823|208784|272731
5089|Marion|AR|3|  Private services-providing industries|132732|134903|131481|161020
5089|Marion|AR|4|  Government and government enterprises|33482|32371|31365|29806
5091|Miller|AR|1|All Industries|1199015|1094349|1056730|1018412
5091|Miller|AR|2|  Private goods-producing industries|420595|328002|290012|277628
5091|Miller|AR|3|  Private services-providing industries|640901|634101|635357|614749
5091|Miller|AR|4|  Government and government enterprises|137519|132335|131244|125905
5093|Mississippi|AR|1|All Industries|2155097|2041285|1921226|1892619
5093|Mississippi|AR|2|  Private goods-producing industries|1123834|1033520|948815|950181
5093|Mississippi|AR|3|  Private services-providing industries|867586|847363|816451|796554
5093|Mississippi|AR|4|  Government and government enterprises|163678|159182|152921|144951
5095|Monroe|AR|1|All Industries|216154|221146|212882|211338
5095|Monroe|AR|2|  Private goods-producing industries|53851|73236|68413|63840
5095|Monroe|AR|3|  Private services-providing industries|136686|123108|120335|124075
5095|Monroe|AR|4|  Government and government enterprises|25618|24583|23900|22789
5097|Montgomery|AR|1|All Industries|113913|117764|115567|110254
5097|Montgomery|AR|2|  Private goods-producing industries|26836|30275|(D)|24601
5097|Montgomery|AR|3|  Private services-providing industries|56826|58108|(D)|58485
5097|Montgomery|AR|4|  Government and government enterprises|30251|29393|28916|27050
5099|Nevada|AR|1|All Industries|214488|220837|229243|234504
5099|Nevada|AR|2|  Private goods-producing industries|94037|106353|115736|120844
5099|Nevada|AR|3|  Private services-providing industries|96746|91025|90945|91716
5099|Nevada|AR|4|  Government and government enterprises|23705|23431|22666|22184
5101|Newton|AR|1|All Industries|73313|78457|80130|75839
5101|Newton|AR|2|  Private goods-producing industries|16581|(D)|(D)|(D)
5101|Newton|AR|3|  Private services-providing industries|31301|(D)|(D)|(D)
5101|Newton|AR|4|  Government and government enterprises|25431|25020|24523|23507
5103|Ouachita|AR|1|All Industries|598731|608848|649798|636431
5103|Ouachita|AR|2|  Private goods-producing industries|185224|178864|190281|143302
5103|Ouachita|AR|3|  Private services-providing industries|300609|319891|354884|390244
5103|Ouachita|AR|4|  Government and government enterprises|112898|110289|105139|99469
5105|Perry|AR|1|All Industries|101627|103902|96824|105132
5105|Perry|AR|2|  Private goods-producing industries|37617|(D)|(D)|(D)
5105|Perry|AR|3|  Private services-providing industries|41020|(D)|(D)|(D)
5105|Perry|AR|4|  Government and government enterprises|22991|21417|21122|20706
5107|Phillips|AR|1|All Industries|468293|498849|482883|459991
5107|Phillips|AR|2|  Private goods-producing industries|98687|124049|117596|105295
5107|Phillips|AR|3|  Private services-providing industries|283925|292188|285014|280641
5107|Phillips|AR|4|  Government and government enterprises|85681|82565|80172|73327
5109|Pike|AR|1|All Industries|201756|214706|213964|207749
5109|Pike|AR|2|  Private goods-producing industries|51666|61883|58643|54999
5109|Pike|AR|3|  Private services-providing industries|116006|119019|122278|121281
5109|Pike|AR|4|  Government and government enterprises|34084|33795|33010|31321
5111|Poinsett|AR|1|All Industries|521451|533243|543437|543284
5111|Poinsett|AR|2|  Private goods-producing industries|151437|184703|185316|190811
5111|Poinsett|AR|3|  Private services-providing industries|297776|278682|289252|287027
5111|Poinsett|AR|4|  Government and government enterprises|72238|69646|68695|65824
5113|Polk|AR|1|All Industries|415129|420688|412677|398258
5113|Polk|AR|2|  Private goods-producing industries|143203|159608|149114|135099
5113|Polk|AR|3|  Private services-providing industries|209898|201294|204529|204574
5113|Polk|AR|4|  Government and government enterprises|62028|59794|58958|58136
5115|Pope|AR|1|All Industries|2503731|2539738|2619674|2770358
5115|Pope|AR|2|  Private goods-producing industries|537895|635986|677720|794370
5115|Pope|AR|3|  Private services-providing industries|1694842|1633473|1675818|1717700
5115|Pope|AR|4|  Government and government enterprises|270994|270386|266490|260293
5117|Prairie|AR|1|All Industries|140058|154004|156725|149351
5117|Prairie|AR|2|  Private goods-producing industries|51556|68638|69192|58613
5117|Prairie|AR|3|  Private services-providing industries|65221|63283|66316|69803
5117|Prairie|AR|4|  Government and government enterprises|23280|22032|21186|20025
5119|Pulaski|AR|1|All Industries|26338703|26907905|26961899|27484845
5119|Pulaski|AR|2|  Private goods-producing industries|2608271|3005033|3058306|2874044
5119|Pulaski|AR|3|  Private services-providing industries|18656197|18839417|18955212|19795951
5119|Pulaski|AR|4|  Government and government enterprises|5074235|5064423|4951952|4822288
5121|Randolph|AR|1|All Industries|318848|336254|339476|330982
5121|Randolph|AR|2|  Private goods-producing industries|74163|85203|86192|83969
5121|Randolph|AR|3|  Private services-providing industries|188324|193981|196704|191603
5121|Randolph|AR|4|  Government and government enterprises|56361|57051|56585|55408
5123|St. Francis|AR|1|All Industries|638792|656650|644173|641229
5123|St. Francis|AR|2|  Private goods-producing industries|111088|135327|122619|113309
5123|St. Francis|AR|3|  Private services-providing industries|359530|357806|357410|364281
5123|St. Francis|AR|4|  Government and government enterprises|168174|163480|163971|163002
5125|Saline|AR|1|All Industries|1840987|1883318|1876944|1967858
5125|Saline|AR|2|  Private goods-producing industries|336325|317299|302923|307522
5125|Saline|AR|3|  Private services-providing industries|1209539|1273043|1282415|1374428
5125|Saline|AR|4|  Government and government enterprises|295123|293126|292062|287389
5127|Scott|AR|1|All Industries|196991|226630|209303|195058
5127|Scott|AR|2|  Private goods-producing industries|98634|122404|108406|96888
5127|Scott|AR|3|  Private services-providing industries|67614|66766|64842|63182
5127|Scott|AR|4|  Government and government enterprises|30742|37363|36008|34854
5129|Searcy|AR|1|All Industries|109258|105326|100431|91605
5129|Searcy|AR|2|  Private goods-producing industries|32213|30074|29135|21966
5129|Searcy|AR|3|  Private services-providing industries|51774|51177|48429|47913
5129|Searcy|AR|4|  Government and government enterprises|25271|24090|22866|21802
5131|Sebastian|AR|1|All Industries|6453074|6454771|6519353|6221658
5131|Sebastian|AR|2|  Private goods-producing industries|1786606|1805105|1828358|1651688
5131|Sebastian|AR|3|  Private services-providing industries|4109831|4106016|4159322|4047995
5131|Sebastian|AR|4|  Government and government enterprises|556636|543750|532140|519889
5133|Sevier|AR|1|All Industries|353522|386944|378878|366862
5133|Sevier|AR|2|  Private goods-producing industries|127565|158773|147048|136312
5133|Sevier|AR|3|  Private services-providing industries|162761|166826|171279|171407
5133|Sevier|AR|4|  Government and government enterprises|63195|61413|60521|58902
5135|Sharp|AR|1|All Industries|255063|260770|256418|252240
5135|Sharp|AR|2|  Private goods-producing industries|42806|51097|48761|47619
5135|Sharp|AR|3|  Private services-providing industries|169836|167741|167345|165372
5135|Sharp|AR|4|  Government and government enterprises|42421|41917|40286|39209
5137|Stone|AR|1|All Industries|176225|180255|187434|195974
5137|Stone|AR|2|  Private goods-producing industries|36913|43091|43316|44451
5137|Stone|AR|3|  Private services-providing industries|106372|105081|112336|120356
5137|Stone|AR|4|  Government and government enterprises|32940|32063|31770|31138
5139|Union|AR|1|All Industries|3025342|3323325|3567763|2815907
5139|Union|AR|2|  Private goods-producing industries|1486390|1927125|2207620|1323036
5139|Union|AR|3|  Private services-providing industries|1387203|1245426|1214230|1287783
5139|Union|AR|4|  Government and government enterprises|151749|148241|146778|142280
5141|Van Buren|AR|1|All Industries|383114|408442|485182|768339
5141|Van Buren|AR|2|  Private goods-producing industries|142984|164091|237294|596454
5141|Van Buren|AR|3|  Private services-providing industries|199210|204055|206102|198223
5141|Van Buren|AR|4|  Government and government enterprises|40920|40137|41696|38937
5143|Washington|AR|1|All Industries|9630946|10022776|10068527|10514117
5143|Washington|AR|2|  Private goods-producing industries|1471888|1601413|1640623|1691391
5143|Washington|AR|3|  Private services-providing industries|6853090|7071750|7065376|7472521
5143|Washington|AR|4|  Government and government enterprises|1305967|1349682|1362192|1352346
5145|White|AR|1|All Industries|2208213|2118014|2131555|2184607
5145|White|AR|2|  Private goods-producing industries|691910|621855|642933|737525
5145|White|AR|3|  Private services-providing industries|1299340|1280749|1278252|1239515
5145|White|AR|4|  Government and government enterprises|216963|215671|210598|207491
5147|Woodruff|AR|1|All Industries|171906|174357|166812|164189
5147|Woodruff|AR|2|  Private goods-producing industries|61628|62899|55963|54495
5147|Woodruff|AR|3|  Private services-providing industries|81113|83924|83005|84057
5147|Woodruff|AR|4|  Government and government enterprises|29165|27561|27634|25429
5149|Yell|AR|1|All Industries|473010|549704|474537|451027
5149|Yell|AR|2|  Private goods-producing industries|194320|230831|218050|196311
5149|Yell|AR|3|  Private services-providing industries|198320|239274|176806|177444
5149|Yell|AR|4|  Government and government enterprises|80370|79673|79529|76881
6001|Alameda|CA|1|All Industries|93795276|97646410|102214628|106058748
6001|Alameda|CA|2|  Private goods-producing industries|15313173|16393107|16758875|18544366
6001|Alameda|CA|3|  Private services-providing industries|66600579|69056783|72828493|74480820
6001|Alameda|CA|4|  Government and government enterprises|11881524|12198241|12636175|13019343
6003|Alpine|CA|1|All Industries|91253|80465|80855|97842
6003|Alpine|CA|2|  Private goods-producing industries|2435|2061|(D)|1631
6003|Alpine|CA|3|  Private services-providing industries|70131|58448|(D)|76337
6003|Alpine|CA|4|  Government and government enterprises|18686|19920|19719|20067
6005|Amador|CA|1|All Industries|1106242|1155937|1151793|1227219
6005|Amador|CA|2|  Private goods-producing industries|193552|214712|214620|215051
6005|Amador|CA|3|  Private services-providing industries|566794|606821|603739|660828
6005|Amador|CA|4|  Government and government enterprises|345896|334702|333728|351686
6007|Butte|CA|1|All Industries|6399648|6647096|6631987|7035257
6007|Butte|CA|2|  Private goods-producing industries|1018314|1127842|1203254|1276345
6007|Butte|CA|3|  Private services-providing industries|4272030|4414320|4304230|4567105
6007|Butte|CA|4|  Government and government enterprises|1109304|1105026|1124215|1191688
6009|Calaveras|CA|1|All Industries|771457|786451|739709|774564
6009|Calaveras|CA|2|  Private goods-producing industries|115570|119197|112207|110910
6009|Calaveras|CA|3|  Private services-providing industries|463072|472203|433627|460342
6009|Calaveras|CA|4|  Government and government enterprises|192815|195057|193703|203348
6011|Colusa|CA|1|All Industries|1133356|1162047|1193557|1369343
6011|Colusa|CA|2|  Private goods-producing industries|361633|386284|410320|420851
6011|Colusa|CA|3|  Private services-providing industries|625696|627207|633921|791048
6011|Colusa|CA|4|  Government and government enterprises|146026|148570|149948|151571
